fdc_id,carbohydrate,energy_kcal,fat,protein,food_name
324860,22.3,597.0,51.1,22.5,peanut_butter
325198,5.27,366.0,30.6,18.0,cheddar_cheese
325430,10.1,42.0,0.27,0.91,peach
327046,14.0,58.0,0.44,1.06,kiwi
327198,8.16,34.0,0.18,0.82,cantaloupe
329490,1.87,575.0,39.8,48.1,egg
331897,0.0,156.0,5.95,23.9,chicken_wings
335240,43.1,254.0,3.55,12.3,bread
746763,0.0,219.0,11.4,27.3,beef
746764,7.92,37.0,0.47,0.81,carrots
746768,63.9,249.0,0.92,3.3,figs
746771,11.8,47.0,0.15,0.91,orange
746773,15.1,57.0,0.16,0.38,pear
746782,4.63,60.0,3.2,3.27,milk
747447,6.27,31.0,0.34,2.57,broccoli
749420,2.1,500.0,36.5,40.9,bacon
790508,0.1,739.8000000000001,82.2,0.85,butter
1104647,28.2,143.0,0.38,6.62,garlic
1104962,7.68,35.0,0.13,0.89,onion
1105314,23.0,97.0,0.29,0.74,banana
1750339,14.7817,55.622745,0.2125,0.1875,apple
1750347,4.079375,24.8732585,0.3708,2.890625,mushrooms
1750352,2.406325,20.72851125,0.6188,2.851875,spinach
2258588,4.7781,19.692148,0.1063,0.715,bell_pepper
2259793,5.574928,77.3185458,4.484,3.824172,yogurt
2263888,12.904375,51.412425,0.1875,1.008125,raspberries
2263889,14.571775,57.384621,0.3063,0.703125,blueberries
2263890,20.196825,77.151876,0.1638,0.914375,grapes
2346388,3.36875,14.455425,0.07375,0.7425,lettuce
2346393,20.03462,583.597022,51.09,21.45038,almonds
2346394,10.9096,678.66434,69.74,14.5644,walnuts
2346396,68.65755,378.866123,5.89,13.49645,oats
2346398,14.0914625,54.046596,0.2113,0.4609375,pineapple
2346399,16.163125,63.290775,0.1925,1.039375,cherries
2346401,17.77125,80.9523625,0.36,2.27375,potato
2346404,17.327875,77.35727375,0.375,1.578125,sweet_potato
2346405,3.3165125,14.83215875,0.1625,0.4921875,celery
2346406,2.9525,13.934925,0.1775,0.625,cucumber
2346407,6.38375,27.8695,0.2275,0.96125,cabbage
2346409,7.964375,32.66565,0.22,0.640625,strawberries
2512381,80.31315,369.637321,1.033,7.03885,rice
2514747,0.0,157.5897,9.591,17.34375,turkey_breast
2515376,26.498,550.62181,43.28,23.205,peanuts
2515379,27.6943,560.68798,45.02,20.5057,pistachios
2515380,18.6751,514.83917,40.03,29.9079,pumpkin_seeds
2644282,60.358,371.99469,6.274,21.275,chickpeas
2644283,62.17125,350.9328,1.925,23.56875,lentils
2644291,12.707625,77.798925,1.153,4.734375,peas
2646168,0.0,173.72307,9.469,21.11875,pork_chop
2647440,2.45312,356.900072,28.13,23.45288,"Cheese, provolone, sliced"
2684440,0.0,136.22202,4.936,22.3,salmon
2684442,0.0,99.95727,2.479,19.0,tilapia
2684443,0.48495,75.699433,0.8013,15.56875,shrimp
2684444,0.0,70.477065,0.6675,16.06875,cod
2684446,0.0,86.021115,0.8075,18.65,crab
2685568,3.27,16.0,0.205,0.984375,zucchini
2685573,4.723075,22.85237775,0.2375,1.640625,cauliflower
2685576,8.787,40.965255,0.3025,1.6875,beetroot
2685577,5.399325,22.35856525,0.12,0.851875,eggplant
2685578,4.2874,19.149449,0.2063,0.8675,tomato
2706027,0.12,226.0,15.08,22.51,chicken_thigh
2706137,0.0,336.0,28.23,18.91,duck_breast
2706293,0.0,208.0,11.45,24.62,sardines
2706480,16.24,189.0,8.41,11.37,noodles
2707359,22.04,181.0,7.01,8.23,black_beans
2707379,21.19,177.0,6.97,8.06,kidney_beans
2707388,7.77,218.0,14.84,16.92,soybeans
2707497,31.71,584.0,47.96,14.85,cashews
2707501,51.85,456.0,27.99,3.13,coconut
2707585,24.07,582.0,49.8,19.33,sunflower_seeds
2707586,11.73,631.0,61.21,20.45,sesame_seeds
2707684,52.38,264.0,1.32,10.56,bagel
2708216,54.99,518.0,30.57,9.13,popcorn
2709033,24.29,162.0,4.54,6.4,brown_rice
2709203,75.03,282.0,0.39,2.45,dates
2709246,10.82,43.0,0.26,0.47,papaya
2709267,18.7,83.0,1.17,1.67,pomegranate
2709853,6.43,28.0,0.17,1.49,green_beans
2710281,82.4,304.0,0.0,0.3,honey
2710815,10.23875,43.47915,0.405,0.96125,apricot
2710819,38.273,490.09552,32.89,17.013,chia_seeds
2710823,5.1012,23.529215,0.2163,1.4375,asparagus
2710824,8.3235,206.0493,20.31,1.8125,avocado
2710826,14.689625,72.85765625,1.626,2.789375,corn
2710833,15.265,61.635825,0.5725,0.5625,mango
2710837,13.455575,52.747095,0.2825,0.578125,plum
2727570,-0.2508,241.727079,18.64,17.4625,lamb_chop
2727578,6.5,3.4175,0.1,0.854375,pumpkin
2727581,9.61,6.105,0.49,1.52625,blackberries
2747657,0.88555,58.8175,0.3667,12.99375,lobster
2747665,4.05682,19.600450000000002,0.08313,0.65625,radish
2747671,0.93215,43.9108,0.5508,8.80625,squid
2747673,-0.1045,101.86949999999999,0.3875,24.7,tuna
2747674,7.274975,33.98160000000001,0.1188,0.953125,turnip
2747675,7.6,3.485,0.2,0.87125,watermelon
